order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,1,76,1,4344,0.2,3475.2
2,1,23,2,2839,0.0,5678.0
3,2,1,1,9563,0.05,9084.85
4,2,49,1,1101,0.0,1101.0
5,3,60,1,405,0.0,405.0
6,3,38,1,1108,0.0,1108.0
7,4,16,2,22376,0.0,44752.0
8,4,39,1,4515,0.15,3837.75
9,4,34,3,803,0.25,1806.75
10,5,40,1,1769,0.0,1769.0
11,6,3,2,43339,0.0,86678.0
12,6,50,1,798,0.15,678.3
13,7,65,1,564,0.25,423.0
14,8,46,1,5521,0.1,4968.9
15,8,53,2,559,0.05,1062.1
16,9,59,3,1172,0.05,3340.2
17,9,73,1,556,0.2,444.8
18,9,72,1,3738,0.0,3738.0
19,10,6,2,41775,0.0,83550.0
20,10,70,1,3968,0.05,3769.6
21,10,54,1,1386,0.0,1386.0
22,10,50,1,798,0.25,598.5
23,11,47,1,1019,0.05,968.05
24,12,84,1,610,0.2,488.0
25,13,74,1,745,0.0,745.0
26,13,39,1,4515,0.0,4515.0
27,13,29,1,2027,0.25,1520.25
28,14,64,1,302,0.05,286.9
29,15,1,1,9563,0.2,7650.4
30,16,18,2,4367,0.0,8734.0
31,17,10,2,38149,0.15,64853.3
32,18,42,2,635,0.05,1206.5
33,18,83,1,898,0.0,898.0
34,19,71,1,3039,0.1,2735.1
35,20,47,1,1019,0.0,1019.0
36,20,17,1,2374,0.05,2255.3
37,20,13,2,34766,0.0,69532.0
38,21,85,1,128,0.0,128.0
39,21,71,1,3039,0.15,2583.15
40,22,82,3,541,0.25,1217.25
41,23,43,1,865,0.2,692.0
42,24,1,1,9563,0.0,9563.0
43,25,42,2,635,0.1,1143.0
44,26,70,1,3968,0.15,3372.8
45,27,65,2,564,0.0,1128.0
46,28,48,1,424,0.1,381.6
47,29,5,1,13447,0.15,11429.95
48,29,45,2,4158,0.15,7068.6
49,30,66,2,1256,0.2,2009.6
50,31,73,2,556,0.15,945.2
51,31,11,1,35726,0.25,26794.5
52,32,82,1,541,0.15,459.85
53,32,29,2,2027,0.15,3445.9
54,33,34,1,803,0.25,602.25
55,33,73,3,556,0.0,1668.0
56,34,8,2,38096,0.0,76192.0
57,34,20,1,821,0.0,821.0
58,34,31,1,2822,0.25,2116.5
59,35,69,2,3850,0.0,7700.0
60,36,36,1,1992,0.1,1792.8
61,36,77,1,3321,0.0,3321.0
62,37,54,1,1386,0.15,1178.1
63,37,52,1,1758,0.2,1406.4
64,38,14,1,28329,0.05,26912.55
65,39,73,1,556,0.05,528.2
66,40,55,1,979,0.05,930.05
67,40,74,1,745,0.0,745.0
68,40,51,1,304,0.25,228.0
69,41,29,1,2027,0.0,2027.0
70,42,66,1,1256,0.05,1193.2
71,42,63,1,205,0.2,164.0
72,42,42,1,635,0.15,539.75
73,43,9,2,37837,0.2,60539.2
74,43,29,1,2027,0.0,2027.0
75,44,22,1,1944,0.1,1749.6
76,44,78,1,768,0.05,729.6
77,45,38,1,1108,0.1,997.2
78,45,84,1,610,0.0,610.0
79,45,72,1,3738,0.25,2803.5
80,46,85,1,128,0.15,108.8
81,47,44,1,4283,0.15,3640.55
82,48,74,1,745,0.2,596.0
83,49,38,3,1108,0.2,2659.2
84,49,40,2,1769,0.0,3538.0
85,50,16,1,22376,0.25,16782.0
86,51,81,1,413,0.0,413.0
87,51,77,1,3321,0.2,2656.8
88,52,27,2,2689,0.0,5378.0
89,52,40,1,1769,0.0,1769.0
90,52,50,1,798,0.25,598.5
91,53,24,1,1087,0.25,815.25
92,53,17,2,2374,0.0,4748.0
93,54,76,2,4344,0.0,8688.0
94,55,72,1,3738,0.0,3738.0
95,55,48,2,424,0.1,763.2
96,56,64,3,302,0.05,860.7
97,56,44,1,4283,0.0,4283.0
98,56,83,1,898,0.05,853.1
99,57,23,1,2839,0.2,2271.2
100,57,15,1,2462,0.1,2215.8
101,58,48,1,424,0.2,339.2
102,59,11,1,35726,0.15,30367.1
103,59,48,1,424,0.0,424.0
104,60,57,1,846,0.0,846.0
105,61,9,1,37837,0.05,35945.15
106,62,69,1,3850,0.1,3465.0
107,62,49,1,1101,0.25,825.75
108,63,37,2,375,0.0,750.0
109,63,42,1,635,0.2,508.0
110,64,27,1,2689,0.0,2689.0
111,64,17,1,2374,0.0,2374.0
112,64,35,1,4996,0.0,4996.0
113,65,72,1,3738,0.25,2803.5
114,66,25,2,2383,0.05,4527.7
115,67,75,1,825,0.05,783.75
116,67,4,2,40207,0.0,80414.0
117,68,52,1,1758,0.2,1406.4
118,68,26,1,546,0.0,546.0
119,69,83,1,898,0.0,898.0
120,70,59,1,1172,0.0,1172.0
121,71,43,1,865,0.2,692.0
122,71,72,1,3738,0.0,3738.0
